    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
       -1.03778593,      0.6286574208,       1.953669855,       4.473037553,       2.788010251,       3.763645932
     -0.9388513432,       1.128653944,       2.184465822,       4.416258129,       2.636933878,       3.500323379
      -1.272094435,      0.8322400178,       1.652467802,       4.309308851,       2.996653031,       3.891380398
     -0.8181317778,      0.9673898009,        2.28038967,       4.513253619,       2.336618998,       3.349624256
      -1.427892865,      0.9749639269,       1.284380542,        4.01263167,       2.394296122,        3.42458331
      -1.324003141,      0.7884568268,       1.720105294,       4.186616949,       2.708265284,       3.642088607
      -1.086301256,      0.9960929028,       2.097398034,       4.276253568,       2.465305215,       3.565370278
      -1.228194217,      0.8047258707,       1.664326963,       4.249989303,        2.68442947,       3.724782621
      -0.938259804,       1.085279602,       1.908083084,       4.429047262,       2.335777099,       3.712935777
      -1.439662528,      0.6496890886,       1.400992525,       3.991878807,        2.22872651,       3.826522884
      -1.458378159,      0.7892765326,         1.3039392,       4.024905881,         2.3258255,       3.975318567
      -1.214445196,      0.3144330651,       1.873052846,       4.146518516,       2.085368154,       4.155814172
       -1.21434363,      0.8879187924,       1.499549892,       4.252347674,       2.312427271,       4.381519707
      -1.169717619,      0.6951835922,       1.717753317,       4.196509383,       2.282244741,       9.389614034
      -1.385453788,       1.067330381,       1.360911306,       4.065633072,       1.985994557,       14.23336623
      -1.220033628,      0.9613241009,       1.628461527,       4.121194297,       2.430924077,       13.63141335
     -0.9443934031,      0.8838116759,       1.717390899,       4.499957035,       2.451114098,       13.02957237
     -0.8675028278,      0.9202880797,       1.689519798,       4.521135042,       2.405068261,       12.42778547
     -0.9920223588,       0.725827172,       1.690315491,        4.45273084,       2.188066413,       11.82606458
      -1.256168401,      0.6547572057,       1.693951689,       4.090372153,       2.411776013,       11.22444455
      -1.066106526,      0.5692168352,       1.753523791,       4.409822086,       2.267559696,       10.62302186
      -1.237704604,      0.6203208526,       1.739046432,       4.052001024,       2.326843333,       10.02199291
      -1.234795791,      0.2876644928,       1.453807359,       4.287579701,       2.388403777,       9.421626008
      -1.006192886,      0.5785768788,       1.746465806,       4.329675976,       2.095816548,       8.822134647
      -1.579427087,      0.4616768694,       1.124760279,       4.076218662,       2.463074712,        8.22354818
      -1.047847555,      0.6951043443,       1.767178051,       4.409400685,       2.238863557,       7.626521882
      -1.211617484,      0.6292813048,       1.821805906,       4.255668496,       2.486637262,       7.033845906
      -1.196096605,      0.8157216615,       1.712277787,       4.311487696,        2.22606359,       6.449727672
      -1.382724286,      0.6108573093,       1.946025535,       3.900811883,       2.382574448,       5.881842557
       -1.25704996,      0.8818410262,       1.521173082,       4.242636417,       2.481132723,       5.343299521
       -1.13679882,       0.673839775,       1.866775786,       4.175427252,       2.000261185,       4.853757188
      -1.254710142,      0.9071974783,       1.266501117,       4.185365975,       2.222367788,       4.436543822
      -1.231876459,      0.7382131043,        1.74343553,       4.229830068,       2.229625768,       4.104267945
      -1.536490659,      0.7233179348,       1.877749597,       3.894934859,       2.389089365,       3.854738137
      -1.288775593,       1.017781581,       1.707882579,       4.242026966,       2.319850735,       3.659737372
      -1.334156606,      0.5543514052,        1.95357875,       3.994380742,       2.354963223,       3.507574177
       -1.30672666,       1.079587815,       1.575950526,       4.218521403,       2.418802375,       3.453827878
      -1.202317166,       0.458117163,       1.887021821,       4.096638902,       2.085147842,       3.231554486
      -1.412482955,      0.8969772746,       1.207970775,       4.094561088,       2.320029138,       3.284060962
      -1.145174244,      0.5614754638,       1.747775376,       4.243894291,       1.795806818,       3.026790841
      -1.291803598,      0.8304621676,       1.085783124,        4.15138875,        1.95924823,       2.956855772
      -1.477411026,      0.2537815479,       1.471497546,       3.954911723,       2.110466143,       3.113875575
      -1.349265046,       1.063900707,       1.786741315,       4.128915374,       2.261012973,        3.20866095
      -1.343701602,      0.9467820498,       1.647344671,       4.194234715,       2.355059357,       3.267954711
